location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,44987,RUS_44987,Chukchi autonomous area,4,62,"1,31,56,62,44987",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",58,Chukchi autonomous area,Chukchi,4,admin2,1,1,Chukotka Autonomous Okrug,1177,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44952,RUS_44952,Chuvash Republic,4,62,"1,31,56,62,44952",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",59,Chuvash Republic,Chuvash,4,admin2,1,1,Chuvash Republic,1197,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44974,RUS_44974,Irkutsk oblast,4,62,"1,31,56,62,44974",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",60,Irkutsk oblast,Irkutsk,4,admin2,1,1,Irkutsk oblast,1125,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44907,RUS_44907,Ivanovo oblast,4,62,"1,31,56,62,44907",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",61,Ivanovo oblast,Ivanovo,4,admin2,1,1,Ivanovo oblast,1124,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44986,RUS_44986,Jewish autonomous oblast,4,62,"1,31,56,62,44986",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",62,Jewish autonomous oblast,Jewish,4,admin2,1,1,Jewish autonomous oblast,1199,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44942,RUS_44942,Kabardian-Balkar Republic,4,62,"1,31,56,62,44942",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",63,Kabardian-Balkar Republic,Kabardian,4,admin2,1,1,Kabardino-Balkarian Republic,1183,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44926,RUS_44926,Kaliningrad oblast,4,62,"1,31,56,62,44926",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",64,Kaliningrad oblast,Kaliningrad,4,admin2,1,1,Kaliningrad oblast,1127,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44908,RUS_44908,Kaluga oblast,4,62,"1,31,56,62,44908",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",65,Kaluga oblast,Kaluga,4,admin2,1,1,Kaluga oblast,1129,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44980,RUS_44980,Kamchatka kray,4,62,"1,31,56,62,44980",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",66,Kamchatka kray,Kamchatka,4,admin2,1,1,Kamchatka krai,1130,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44943,RUS_44943,Karachaev-Chercassian Republic,4,62,"1,31,56,62,44943",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",67,Karachaev-Chercassian Republic,Karachaev,4,admin2,1,1,Karachayevo-Chircassian Republic,1191,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44975,RUS_44975,Kemerovo oblast,4,62,"1,31,56,62,44975",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",68,Kemerovo oblast,Kemerovo,4,admin2,1,1,Kemerovo oblast,1132,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44982,RUS_44982,Khabarovsk kray,4,62,"1,31,56,62,44982",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",69,Khabarovsk kray,Khabarovsk,4,admin2,1,1,Khabarovsk krai,1108,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
